param,label,base,low,high,aucr_low,aucr_high,aucr_base,delta_low,delta_high,max_delta,range_label
fg,fg (gut extraction),0.43,0,0.7,15.724699587008173,52.41505596639941,27.587088573215336,-11.862388986207163,24.82796739318407,24.82796739318407,"[0, 0.7]"
fm,fm CYP3A4,0.94,0.5,0.95,3.4953936225840354,32.71115104418153,27.587088573215336,-24.0916949506313,5.124062470966191,24.0916949506313,"[0.5, 0.95]"
Ki,Ki CYP3A4 (uM),0.015,0.0015,0.15,29.05041303349485,21.965360628344005,27.587088573215336,1.4633244602795124,-5.621727944871331,5.621727944871331,"[0.0015, 0.15]"
Imax_u,"[I]max,u (uM)",0.15185443049884279,0.07592721524942139,0.22778164574826418,24.442587253812416,28.39171772193779,27.587088573215336,-3.14450131940292,0.8046291487224551,3.14450131940292,"[0.07593, 0.2278]"
kinact,kinact (1/min),0.048,0.024,0.072,26.22580071250178,28.101270637325758,27.587088573215336,-1.3612878607135563,0.5141820641104218,1.3612878607135563,"[0.024, 0.072]"
kdeg,kdeg CYP3A4 (1/min),3.2e-4,1.6e-4,4.8e-4,28.371416024877064,26.875069727975074,27.587088573215336,0.7843274516617278,-0.7120188452402623,0.7843274516617278,"[0.00016, 0.00048]"
KI,KI TDI (uM),0.86,0.43,1.29,28.248666301581736,26.977710627693167,27.587088573215336,0.6615777283663995,-0.6093779455221693,0.6615777283663995,"[0.43, 1.29]"
