context,disease,regimen,ORR_percent,median_PFS_months,source_pdf
CodeBreaK100,NSCLC,sotorasib monotherapy,37.1,6.8,data/raw/clinical/NEJM_CodeBreaK100_sotorasib_NSCLC_2021.pdf
CodeBreaK300,mCRC,sotorasib + panitumumab,26.4,5.6,data/raw/clinical/NEJM_CodeBreaK300_sotorasib_panitumumab_mCRC_2023.pdf
