scenario,outcome,parameter,mu_star,mu,sigma
nsclc_mono,best_tumor_change,G_fb,10.128370463260726,10.128370463260726,7.767533867999764
nsclc_mono,best_tumor_change,k_GEF_basal,0.7644086886111191,0.7631070822960911,1.17710322343859
nsclc_mono,best_tumor_change,k_bind,8.154142480061628,-8.154142480061628,10.137070717451573
nsclc_mono,best_tumor_change,rho_grow,7.906851172733887,7.906851172733887,6.8696936488957565
nsclc_mono,best_tumor_change,rho_kill,43.877342015947406,-43.877342015947406,22.38118525961129
nsclc_mono,best_tumor_change,tau_R,0.5025064381481117,-0.5025064381481117,0.32863864065904014
nsclc_mono,best_tumor_change,k_Z_up,14.06153845509549,14.06153845509549,13.388536281435163
nsclc_mono,best_tumor_change,alpha_Z,25.088208153338936,25.088208153338936,20.071021751187164
nsclc_mono,best_tumor_change,beta_Z,37.881882473261825,37.881882473261825,28.550211164308255
nsclc_mono,erk_rebound_72h,G_fb,24.011188824961568,24.011188824961568,5.489627801371321
nsclc_mono,erk_rebound_72h,k_GEF_basal,1.7329768803210146,1.7329768803210146,0.45233674282565034
nsclc_mono,erk_rebound_72h,k_bind,15.094842183019924,-15.094842183019924,3.1235693275655723
nsclc_mono,erk_rebound_72h,rho_grow,0.0,0.0,0.0
nsclc_mono,erk_rebound_72h,rho_kill,0.0,0.0,0.0
nsclc_mono,erk_rebound_72h,tau_R,7.977874125998179,-7.977874125998179,3.046165302703452
nsclc_mono,erk_rebound_72h,k_Z_up,15.176795895424883,15.176795895424883,10.771692384489786
nsclc_mono,erk_rebound_72h,alpha_Z,0.0,0.0,0.0
nsclc_mono,erk_rebound_72h,beta_Z,24.013281938988825,24.013281938988825,9.84092326921581
crc_mono,best_tumor_change,G_fb,21.568001716257854,21.568001716257854,19.979108826423836
crc_mono,best_tumor_change,k_GEF_basal,0.9391275549251524,0.9391275549251524,1.3198405122842134
crc_mono,best_tumor_change,k_bind,10.476010580334986,-10.476010580334986,10.262990640781345
crc_mono,best_tumor_change,rho_grow,15.01224860052272,15.01224860052272,16.7291745682844
crc_mono,best_tumor_change,rho_kill,30.343972196413688,-30.343972196413688,23.416697739407542
crc_mono,best_tumor_change,tau_R,1.7580806883072007,-1.7580806883072007,0.8722764107707096
crc_mono,best_tumor_change,k_Z_up,14.858828932663965,14.858828932663965,16.36677849687602
crc_mono,best_tumor_change,alpha_Z,25.79986176400546,25.79986176400546,27.782052110189788
crc_mono,best_tumor_change,beta_Z,23.536584612715433,23.536584612715433,31.89878398838006
crc_mono,erk_rebound_72h,G_fb,32.28978036704115,32.28978036704115,12.28289871440878
crc_mono,erk_rebound_72h,k_GEF_basal,1.2368114641792045,1.2368114641792045,0.5266087348865565
crc_mono,erk_rebound_72h,k_bind,11.822479601222536,-11.822479601222536,5.8954476361167405
crc_mono,erk_rebound_72h,rho_grow,0.0,0.0,0.0
crc_mono,erk_rebound_72h,rho_kill,0.0,0.0,0.0
crc_mono,erk_rebound_72h,tau_R,5.824835129570683,-2.6626497967719502,6.682762832530281
crc_mono,erk_rebound_72h,k_Z_up,9.51435483268701,9.51435483268701,8.69792346334602
crc_mono,erk_rebound_72h,alpha_Z,0.0,0.0,0.0
crc_mono,erk_rebound_72h,beta_Z,14.947250390367888,14.947250390367888,10.121620141343977
crc_combo,best_tumor_change,G_fb,11.396457569265216,11.396457569265216,9.431953329700645
crc_combo,best_tumor_change,k_GEF_basal,0.39795611149328736,0.3475153598813542,0.6127992555592354
crc_combo,best_tumor_change,k_bind,4.8275484280664935,-4.565058104758023,7.053161366140983
crc_combo,best_tumor_change,rho_grow,8.21365656803541,8.21365656803541,6.130847604876174
crc_combo,best_tumor_change,rho_kill,45.47160513825909,-45.47160513825909,21.661572162396496
crc_combo,best_tumor_change,tau_R,0.5858308263450793,-0.5858308263450793,0.45027337644704585
crc_combo,best_tumor_change,k_Z_up,13.574652494044766,13.574652494044766,12.829468103342899
crc_combo,best_tumor_change,alpha_Z,24.325344646406364,24.325344646406364,18.710277352858753
crc_combo,best_tumor_change,beta_Z,36.31429144330343,36.31429144330343,27.10455140105101
crc_combo,erk_rebound_72h,G_fb,30.818420564584112,30.818420564584112,7.50837315563438
crc_combo,erk_rebound_72h,k_GEF_basal,1.3469672081716222,1.3469672081716222,0.43764183845037247
crc_combo,erk_rebound_72h,k_bind,10.631706245222459,-10.631706245222459,4.0620915788232015
crc_combo,erk_rebound_72h,rho_grow,0.0,0.0,0.0
crc_combo,erk_rebound_72h,rho_kill,0.0,0.0,0.0
crc_combo,erk_rebound_72h,tau_R,8.468689805480297,-8.468689805480297,3.4698633013055162
crc_combo,erk_rebound_72h,k_Z_up,14.80986204344963,14.80986204344963,10.76633018123949
crc_combo,erk_rebound_72h,alpha_Z,0.0,0.0,0.0
crc_combo,erk_rebound_72h,beta_Z,23.316552424428295,23.316552424428295,10.222417517795337
