time_h,time_d,A_gut,A_central,C_mgL,C_uM,KRAS_GDP,KRAS_GTP,KRAS_drug,TE,KRAS_GTP_norm,R,E,E_norm,T,T_change_pct,Z
0.0,0.0,700.8,0.0,0.0,0.0,0.9015748031496064,0.09842519685039364,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
0.5,0.020833333333333332,425.0566752270055,265.6381060995873,1.258948370140224,2.2457159652875918,0.8226944862637213,0.09808430794183723,0.07922120579444127,0.07922120579444128,0.9965365686890669,1.0000002510301524,0.9999268467090324,0.9999268467090324,1.000199873098721,0.01998730987209374,5.6348596762314264e-05
1.0,0.041666666666666664,257.8099229308408,408.96674044327153,1.9382309973614764,3.4574223998599294,0.6647385879462897,0.09626703769438051,0.23899437435932958,0.23899437435932963,0.9780731029749067,1.0000068207611001,0.9990403321982482,0.9990403321982482,1.0003962044710435,0.03962044710434931,0.0003694008060014741
1.5,0.0625,156.36965088527475,479.30222576714016,2.271574529702086,4.05204161559416,0.5073115754868509,0.09273356852538032,0.3999548559877685,0.3999548559877686,0.9421730562178647,1.00004360656582,0.9960591884044471,0.9960591884044471,1.000575616326148,0.057561632614810954,0.0010113687649923634
2.0,0.08333333333333333,94.84299807815628,506.47666070328887,2.4003633208686677,4.2817754564193145,0.3805474210584169,0.08789570583827618,0.5315568731033067,0.5315568731033068,0.8930203713168865,1.0001542263343344,0.9899283112763362,0.9899283112763362,1.0007146252151684,0.07146252151684074,0.001947035769512071
2.5,0.10416666666666667,57.52517076712603,508.5096703339988,2.40999843760189,4.298962607209936,0.287633332562398,0.08229194262169995,0.6300747248159019,0.630074724815902,0.836086137036472,1.00039514403337,0.9800865238940362,0.9800865238940362,1.0007855964604824,0.0785596460482374,0.0031106238156121814
3.0,0.125,34.89079508934383,496.261185087487,2.3519487444904597,4.195413386533107,0.22244620657505523,0.07637209836641755,0.7011816950585269,0.7011816950585271,0.7759405194028028,1.0008274332101592,0.9664236008882124,0.9664236008882124,1.000763618059605,0.0763618059604898,0.004440423034574285
3.5,0.14583333333333334,21.162363081944264,476.2533763691286,2.2571250064887614,4.026266511753052,0.17758509984410006,0.07045285545646635,0.7519620446994332,0.7519620446994335,0.7158010114376986,1.0015103255445217,0.9491464038847757,0.9491464038847757,1.0006310556095452,0.06310556095452391,0.005888377791534731
4.0,0.16666666666666666,12.835624929467015,452.3816984231964,2.1439890920530633,3.8244543204656853,0.14694043953154995,0.06473595367116537,0.7883236067972843,0.7883236067972846,0.6577172892990406,1.0024970890889842,0.9286506293510448,0.9286506293510448,1.00037895579537,0.03789557953699507,0.007419732509105939
4.5,0.1875,7.785198110348398,426.9523925876266,2.0234710549176618,3.609473876057192,0.12606777583809473,0.059339309781011505,0.8145929143808933,0.8145929143808937,0.6028873873750773,1.0038328284320286,0.9054249225831635,0.9054249225831635,1.000006094123993,0.0006094123992994582,0.00901004527333865
5.0,0.20833333333333334,4.721964211695254,401.3116424868741,1.9019509122600669,3.3927058727436084,0.11190072058748123,0.05432430927247124,0.8337749701400472,0.8337749701400475,0.5519349822083082,1.0055536280754651,0.8799869770163893,0.8799869770163893,0.9995169387041326,-0.0483061295867393,0.010642210262768816
5.5,0.22916666666666666,2.864019553590538,376.22685783865546,1.7830656769604525,3.1806380252594586,0.10236864207290532,0.04971588384665488,0.8479154740804394,0.8479154740804398,0.5051133798820139,1.0076865512418771,0.8528441110846567,0.8528441110846567,0.9989195128884335,-0.10804871115664971,0.012304159042550335
6.0,0.25,1.7371157602216527,352.11767656977133,1.668804154359106,2.9768179706726827,0.0960813142464254,0.04551623442171905,0.8584024513318552,0.8584024513318556,0.4624449417246659,1.010250141904943,0.8244707194457144,0.8244707194457144,0.9982236510237883,-0.17763489762117057,0.013987243677480192
6.5,0.2708333333333333,1.0536137682205242,329.19586273336165,1.5601699655609558,2.7830359713895034,0.09210279908854935,0.041713884435962946,0.8661833164754873,0.8661833164754876,0.42381306586938383,1.0132551947815545,0.7952967406333752,0.7952967406333752,0.9974397727390838,-0.25602272609162036,0.015685142712928812
7.0,0.2916666666666667,0.6390495489299535,307.5499721137958,1.4575828062265204,2.60004068181684,0.08979832025276642,0.03828954203066682,0.8719121377165663,0.8719121377165666,0.38902174703157516,1.0167056435625699,0.7657030624374432,0.7657030624374432,0.9965781146554671,-0.34218853445329156,0.017393131310970453
7.5,0.3125,0.3876035785899037,287.1965016297064,1.3611208608042957,2.427971567613799,0.08873304567293112,0.03521984984303097,0.8760471044840374,0.8760471044840379,0.35783367440519487,1.0205994749208505,0.7360211553842343,0.7360211553842343,0.9956483010164355,-0.4351698983564467,0.019107595089938912
8.0,0.3333333333333333,0.2350934334948476,268.1107321510543,1.2706669770192147,2.266619652192677,0.08860571461261908,0.03247975708581392,0.8789145283015666,0.878914528301567,0.32999433199186967,1.0249296135386887,0.7065351724490812,0.7065351724490812,0.994659140026289,-0.5340859973711032,0.02082570442926907
8.5,0.3541666666666667,0.142591361707035,250.24527060994225,1.1859965431750819,2.1155842725206595,0.08920508109773079,0.03004399805767748,0.8807509208445914,0.8807509208445917,0.30524702026600337,1.0296847477666913,0.6774853903610976,0.6774853903610976,0.9936185589111148,-0.6381441088885165,0.022545194084320493
9.0,0.375,0.08648611468106678,233.54114258930875,1.1068300596649703,1.974366856341367,0.09038116930720354,0.02788799191787972,0.8817308387749163,0.8817308387749168,0.28334199788565817,1.0348500810243926,0.6490722856464486,0.6490722856464486,0.9925336180663665,-0.746638193363347,0.024264212181724875
9.5,0.3958333333333333,0.052456530459932045,217.93437340696508,1.0328643289429624,1.8424265589421376,0.09202614729153824,0.02598836765548473,0.8819854850529766,0.881985485052977,0.26404181537972504,1.0404080032676162,0.6214608067870232,0.6214608067870232,0.9914105662975372,-0.858943370246279,0.02598121531624387
10.0,0.4166666666666667,0.03181648697094599,203.35984402064642,0.9637907299556703,1.7192128611410458,0.09406147702241714,0.02432324680514815,0.8816152761724343,0.8816152761724347,0.24712418754030535,1.0463386827160213,0.5947845774010303,0.5947845774010303,0.9902549141895548,-0.9745085810445198,0.027694894600711242
