formulation,time_min,pct_dissolved
micronized,0.0,0.0
micronized,1.0,17.629976619807042
micronized,2.0,20.98116489603572
micronized,3.0,22.15903467157826
micronized,4.0,22.614065970521743
micronized,5.0,22.79556791360679
micronized,6.0,22.868853740994105
micronized,7.0,22.898588310950394
micronized,8.0,22.91067620788143
micronized,9.0,22.915594149678054
micronized,10.0,22.917595649875857
micronized,11.0,22.918410325431122
micronized,12.0,22.918741942477176
micronized,13.0,22.91887693148808
micronized,14.0,22.918931880996713
micronized,15.0,22.918954249182963
micronized,16.0,22.91896335456897
micronized,17.0,22.918967061087802
micronized,18.0,22.918968569896453
micronized,19.0,22.91896918408564
micronized,20.0,22.918969434103005
micronized,21.0,22.918969535877324
micronized,22.0,22.918969577306495
micronized,23.0,22.918969594171028
micronized,24.0,22.918969601036054
micronized,25.0,22.91896960383059
micronized,26.0,22.91896960496816
micronized,27.0,22.918969605431233
micronized,28.0,22.918969605619736
micronized,29.0,22.918969605696468
micronized,30.0,22.918969605727707
micronized,31.0,22.91896960574042
micronized,32.0,22.91896960574559
micronized,33.0,22.9189696057477
micronized,34.0,22.91896960574856
micronized,35.0,22.918969605748913
micronized,36.0,22.918969605749055
micronized,37.0,22.918969605749112
micronized,38.0,22.918969605749133
micronized,39.0,22.918969605749144
micronized,40.0,22.918969605749144
micronized,41.0,22.918969605749144
micronized,42.0,22.918969605749144
micronized,43.0,22.918969605749144
micronized,44.0,22.918969605749144
micronized,45.0,22.918969605749144
micronized,46.0,22.918969605749144
micronized,47.0,22.918969605749144
micronized,48.0,22.918969605749144
micronized,49.0,22.918969605749144
micronized,50.0,22.918969605749144
micronized,51.0,22.918969605749144
micronized,52.0,22.918969605749144
micronized,53.0,22.918969605749144
micronized,54.0,22.918969605749144
micronized,55.0,22.918969605749144
micronized,56.0,22.918969605749144
micronized,57.0,22.918969605749144
micronized,58.0,22.918969605749144
micronized,59.0,22.918969605749144
micronized,60.0,22.918969605749144
micronized,61.0,22.918969605749144
micronized,62.0,22.918969605749144
micronized,63.0,22.918969605749144
micronized,64.0,22.918969605749144
micronized,65.0,22.918969605749144
micronized,66.0,22.918969605749144
micronized,67.0,22.918969605749144
micronized,68.0,22.918969605749144
micronized,69.0,22.918969605749144
micronized,70.0,22.918969605749144
micronized,71.0,22.918969605749144
micronized,72.0,22.918969605749144
micronized,73.0,22.918969605749144
micronized,74.0,22.918969605749144
micronized,75.0,22.918969605749144
micronized,76.0,22.918969605749144
micronized,77.0,22.918969605749144
micronized,78.0,22.918969605749144
micronized,79.0,22.918969605749144
micronized,80.0,22.918969605749144
micronized,81.0,22.918969605749144
micronized,82.0,22.918969605749144
micronized,83.0,22.918969605749144
micronized,84.0,22.918969605749144
micronized,85.0,22.918969605749144
micronized,86.0,22.918969605749144
micronized,87.0,22.918969605749144
micronized,88.0,22.918969605749144
micronized,89.0,22.918969605749144
micronized,90.0,22.918969605749144
micronized,91.0,22.918969605749144
micronized,92.0,22.918969605749144
micronized,93.0,22.918969605749144
micronized,94.0,22.918969605749144
micronized,95.0,22.918969605749144
micronized,96.0,22.918969605749144
micronized,97.0,22.918969605749144
micronized,98.0,22.918969605749144
micronized,99.0,22.918969605749144
micronized,100.0,22.918969605749144
micronized,101.0,22.918969605749144
micronized,102.0,22.918969605749144
micronized,103.0,22.918969605749144
micronized,104.0,22.918969605749144
micronized,105.0,22.918969605749144
micronized,106.0,22.918969605749144
micronized,107.0,22.918969605749144
micronized,108.0,22.918969605749144
micronized,109.0,22.918969605749144
micronized,110.0,22.918969605749144
micronized,111.0,22.918969605749144
micronized,112.0,22.918969605749144
micronized,113.0,22.918969605749144
micronized,114.0,22.918969605749144
micronized,115.0,22.918969605749144
micronized,116.0,22.918969605749144
micronized,117.0,22.918969605749144
